# Phase-15 rollback snapshot — the (id, value) pairs that 20260922_000000_phase15_null_invented_spec_versions sets to NULL.
#
# Source database: kientaohub (development), postgres://payload@127.0.0.1:5433/kientaohub, measured 2026-09-22 (Asia/Ho_Chi_Minh).
# Query (the real output below was copied from it, not retyped):
#   select id, technical_specs_software_version from products
#   where technical_specs_software_version ~ ' 2022\+$' order by id;
#
# Format: id<TAB>value, one row per purged product, ordered by id. 161 rows, 161 distinct ids.
# The restore statement that fits this database is in the migration header; it uses these ids and
# these values verbatim. 'payload migrate:down' does NOT bring them back (see the migration's down()).
#
1	AutoCAD 2022+
2	AutoCAD 2022+
3	Revit 2022+
4	AutoCAD 2022+
5	Revit 2022+
6	SketchUp 2022+
7	AutoCAD 2022+
8	Revit 2022+
9	AutoCAD 2022+
10	Revit 2022+
11	Revit 2022+
12	SketchUp 2022+
13	SketchUp 2022+
14	AutoCAD 2022+
15	Revit 2022+
16	AutoCAD 2022+
17	AutoCAD 2022+
18	Revit 2022+
19	AutoCAD 2022+
20	Revit 2022+
21	AutoCAD 2022+
22	AutoCAD 2022+
23	Revit 2022+
24	AutoCAD 2022+
25	AutoCAD 2022+
26	Revit 2022+
27	AutoCAD 2022+
28	AutoCAD 2022+
29	AutoCAD 2022+
30	Revit 2022+
31	AutoCAD 2022+
32	AutoCAD 2022+
33	AutoCAD 2022+
34	AutoCAD 2022+
35	Revit 2022+
36	AutoCAD 2022+
37	AutoCAD 2022+
38	AutoCAD 2022+
39	AutoCAD 2022+
40	Revit 2022+
41	Revit 2022+
42	AutoCAD 2022+
43	AutoCAD 2022+
44	Revit 2022+
45	AutoCAD 2022+
46	Revit 2022+
47	AutoCAD 2022+
48	AutoCAD 2022+
49	AutoCAD 2022+
50	Revit 2022+
51	AutoCAD 2022+
52	AutoCAD 2022+
53	AutoCAD 2022+
54	AutoCAD 2022+
55	AutoCAD 2022+
56	Revit 2022+
57	AutoCAD 2022+
58	AutoCAD 2022+
59	AutoCAD 2022+
60	AutoCAD 2022+
61	AutoCAD 2022+
62	Revit 2022+
63	Revit 2022+
64	Revit 2022+
65	Revit 2022+
66	Revit 2022+
67	Revit 2022+
68	Revit 2022+
69	Revit 2022+
70	Revit 2022+
71	Revit 2022+
72	Revit 2022+
73	Revit 2022+
74	Revit 2022+
75	Revit 2022+
76	Revit 2022+
77	Revit 2022+
78	Revit 2022+
79	Revit 2022+
80	Revit 2022+
81	Revit 2022+
82	3ds Max 2022+
83	SketchUp 2022+
84	3ds Max 2022+
85	SketchUp 2022+
86	3ds Max 2022+
87	SketchUp 2022+
88	3ds Max 2022+
89	SketchUp 2022+
90	3ds Max 2022+
91	SketchUp 2022+
92	3ds Max 2022+
93	SketchUp 2022+
94	3ds Max 2022+
95	SketchUp 2022+
96	3ds Max 2022+
97	SketchUp 2022+
98	3ds Max 2022+
99	SketchUp 2022+
100	3ds Max 2022+
101	SketchUp 2022+
102	AutoCAD 2022+
103	AutoCAD 2022+
104	AutoCAD 2022+
105	AutoCAD 2022+
106	AutoCAD 2022+
107	AutoCAD 2022+
108	AutoCAD 2022+
109	AutoCAD 2022+
110	AutoCAD 2022+
111	AutoCAD 2022+
112	Revit 2022+
113	AutoCAD 2022+
114	PDF / Vector 2022+
115	AutoCAD 2022+
116	AutoCAD 2022+
117	AutoCAD 2022+
118	AutoCAD 2022+
119	AutoCAD 2022+
120	AutoCAD 2022+
121	AutoCAD 2022+
122	SketchUp 2022+
123	3ds Max 2022+
124	AutoCAD 2022+
125	SketchUp 2022+
126	3ds Max 2022+
127	AutoCAD 2022+
128	SketchUp 2022+
129	SketchUp 2022+
130	3ds Max 2022+
131	SketchUp 2022+
132	AutoCAD 2022+
133	SketchUp 2022+
134	AutoCAD 2022+
135	SketchUp 2022+
136	3ds Max 2022+
137	3ds Max 2022+
138	SketchUp 2022+
139	3ds Max 2022+
140	AutoCAD 2022+
141	3ds Max 2022+
142	SketchUp 2022+
143	AutoCAD 2022+
144	SketchUp 2022+
145	Lumion 2022+
146	SketchUp 2022+
147	AutoCAD 2022+
148	AutoCAD 2022+
149	SketchUp 2022+
150	AutoCAD 2022+
151	SketchUp 2022+
152	PDF / Vector 2022+
153	AutoCAD 2022+
154	AutoCAD 2022+
155	AutoCAD 2022+
156	Revit 2022+
157	SketchUp 2022+
158	AutoCAD 2022+
159	AutoCAD 2022+
160	AutoCAD 2022+
161	AutoCAD 2022+
